t	w	alpha
0.071	6.056725994	0.44285435
0.072	6.109710286	0.45380424
0.073	6.162044473	0.464848916
0.074	6.21373653	0.475987214
0.075	6.264794337	0.487217986
0.076	6.315225676	0.498540096
0.077	6.365038233	0.509952426
0.078	6.414239601	0.521453866
0.079	6.462837278	0.533043325
0.08	6.510838672	0.544719722
0.081	6.5582511	0.55648199
0.082	6.605081787	0.568329075
0.083	6.651337872	0.580259938
0.084	6.697026405	0.59227355
0.085	6.742154349	0.604368896
0.086	6.786728583	0.616544973
0.087	6.830755901	0.62880079
0.088	6.874243013	0.641135369
0.089	6.917196548	0.653547743
0.09	6.959623052	0.666036959
0.091	7.001528992	0.678602073
0.092	7.042920755	0.691242154
0.093	7.08380465	0.703956282
0.094	7.124186908	0.716743549
0.095	7.164073685	0.729603057
0.096	7.20347106	0.742533919
0.097	7.242385037	0.755535262
0.098	7.280821549	0.768606218
0.099	7.318786452	0.781745935
0.1	7.356285534	0.794953569
0.101	7.393324511	0.808228286
0.102	7.429909027	0.821569264
0.103	7.46604466	0.834975689
0.104	7.501736915	0.848446758
0.105	7.536991235	0.861981678
0.106	7.571812992	0.875579666
0.107	7.606207493	0.889239948
0.108	7.640179981	0.902961759
0.109	7.673735634	0.916744345
0.11	7.706879566	0.930586959
0.111	7.739616829	0.944488866
0.112	7.771952414	0.958449338
0.113	7.803891247	0.972467656
0.114	7.835438198	0.986543111
0.115	7.866598075	1.000675001
0.116	7.897375626	1.014862634
0.117	7.927775544	1.029105326
0.118	7.957802461	1.043402401
0.119	7.987460955	1.057753193
0.12	8.016755545	1.072157042
0.121	8.045690697	1.086613296
0.122	8.07427082	1.101121314
0.123	8.102500272	1.11568046
0.124	8.130383355	1.130290107
0.125	8.157924318	1.144949635
0.126	8.185127359	1.159658431
0.127	8.211996625	1.174415892
0.128	8.238536211	1.18922142
0.129	8.264750161	1.204074426
0.13	8.290642473	1.218974327
0.131	8.316217091	1.233920548
0.132	8.341477914	1.24891252
0.133	8.366428792	1.263949682
0.134	8.391073528	1.27903148
0.135	8.415415879	1.294157365
0.136	8.439459554	1.309326797
0.137	8.463208219	1.324539242
0.138	8.486665493	1.339794171
0.139	8.509834951	1.355091064
0.14	8.532720124	1.370429406
0.141	8.555324502	1.385808688
0.142	8.577651528	1.401228407
0.143	8.599704607	1.416688068
0.144	8.621487099	1.432187181
0.145	8.643002325	1.447725261
0.146	8.664253564	1.46330183
