t	alpha1	alpha2	alpha3	alpha4
0.234	2.928682935	2.627660107	2.326637279	1.724591623
0.235	2.947192822	2.644396078	2.341599334	1.736005846
0.236	2.965716213	2.661144486	2.356572758	1.747429302
0.237	2.98425293	2.677905165	2.371557399	1.758861868
0.238	3.002802794	2.694677951	2.386553108	1.770303422
0.239	3.02136563	2.711462684	2.401559737	1.781753845
0.24	3.039941265	2.728259203	2.416577141	1.793213018
0.241	3.058529529	2.745067353	2.431605177	1.804680824
0.242	3.077130253	2.761886977	2.446643701	1.81615715
0.243	3.095743271	2.778717923	2.461692575	1.82764188
0.244	3.114368419	2.79556004	2.476751661	1.839134903
0.245	3.133005536	2.81241318	2.491820823	1.850636109
0.246	3.151654462	2.829277194	2.506899925	1.862145389
0.247	3.17031504	2.846151938	2.521988837	1.873662634
0.248	3.188987114	2.86303727	2.537087426	1.885187738
0.249	3.207670531	2.879933048	2.552195565	1.896720598
0.25	3.22636514	2.896839133	2.567313125	1.908261109
0.251	3.245070792	2.913755387	2.582439981	1.91980917
0.252	3.26378734	2.930681675	2.597576009	1.931364679
0.253	3.282514638	2.947617863	2.612721088	1.942927538
0.254	3.301252542	2.964563819	2.627875096	1.954497649
0.255	3.320000913	2.981519413	2.643037914	1.966074915
0.256	3.33875961	2.998484517	2.658209425	1.97765924
0.257	3.357528495	3.015459004	2.673389513	1.989250531
0.258	3.376307433	3.032442748	2.688578063	2.000848694
0.259	3.395096289	3.049435627	2.703774964	2.012453639
0.26	3.413894932	3.066437518	2.718980103	2.024065274
0.261	3.432703231	3.083448301	2.734193371	2.035683511
0.262	3.451521058	3.100467859	2.749414659	2.047308261
0.263	3.470348285	3.117496073	2.764643861	2.058939438
0.264	3.489184787	3.134532829	2.779880871	2.070576955
0.265	3.50803044	3.151578013	2.795125585	2.08222073
0.266	3.526885123	3.168631512	2.8103779	2.093870677
0.267	3.545748715	3.185693215	2.825637715	2.105526716
0.268	3.564621097	3.202763014	2.840904931	2.117188764
0.269	3.583502153	3.2198408	2.856179447	2.128856741
0.27	3.602391766	3.236926467	2.871461168	2.140530569
0.271	3.621289823	3.254019909	2.886749996	2.152210169
0.272	3.64019621	3.271121024	2.902045838	2.163895466
0.273	3.659110818	3.288229709	2.9173486	2.175586381
0.274	3.678033536	3.305345862	2.932658189	2.187282842
