t	w1	w2	w3	w4	w5
0.196	6.057422861	5.928471644	5.76810199	5.589311086	5.027317664
0.197	6.060186507	5.933072783	5.774463544	5.597214422	5.038347053
0.198	6.062888965	5.9375905	5.78072738	5.605012414	5.049271113
0.199	6.065531591	5.942026307	5.786894999	5.612706466	5.06009085
0.2	6.06811571	5.946381691	5.79296788	5.620297963	5.070807261
0.201	6.070642615	5.950658108	5.798947478	5.627788272	5.081421331
0.202	6.073113575	5.954856992	5.804835225	5.635178742	5.09193404
0.203	6.075529828	5.958979747	5.810632532	5.642470703	5.102346353
0.204	6.077892585	5.963027754	5.81634079	5.649665468	5.112659231
0.205	6.08020303	5.967002367	5.821961365	5.656764334	5.122873623
0.206	6.082462322	5.970904919	5.827495604	5.663768578	5.132990469
0.207	6.084671593	5.974736715	5.832944834	5.670679462	5.143010701
0.208	6.08683195	5.978499037	5.83831036	5.677498229	5.152935242
0.209	6.088944478	5.982193147	5.843593468	5.684226109	5.162765005
0.21	6.091010234	5.98582028	5.848795425	5.690864311	5.172500895
0.211	6.093030253	5.98938165	5.853917476	5.697414032	5.182143809
0.212	6.09500555	5.992878451	5.858960849	5.703876452	5.191694635
0.213	6.096937113	5.996311852	5.863926753	5.710252732	5.201154253
0.214	6.098825912	5.999683004	5.868816377	5.716544023	5.210523533
0.215	6.100672892	6.002993035	5.873630894	5.722751456	5.219803337
0.216	6.10247898	6.006243052	5.878371456	5.72887615	5.228994521
0.217	6.104245082	6.009434145	5.883039201	5.734919206	5.238097931
0.218	6.105972081	6.012567381	5.887635246	5.740881714	5.247114405
0.219	6.107660845	6.015643809	5.892160693	5.746764747	5.256044774
0.22	6.10931222	6.01866446	5.896616626	5.752569365	5.264889858
0.221	6.110927033	6.021630344	5.901004113	5.758296612	5.273650474
0.222	6.112506094	6.024542455	5.905324205	5.763947519	5.282327428
0.223	6.114050194	6.027401768	5.909577939	5.769523105	5.290921518
0.224	6.115560109	6.03020924	5.913766332	5.775024374	5.299433536
0.225	6.117036593	6.03296581	5.917890389	5.780452315	5.307864265
0.226	6.118480388	6.035672401	5.921951097	5.785807906	5.316214483
0.227	6.119892218	6.038329921	5.925949431	5.791092113	5.324484957
0.228	6.121272789	6.040939258	5.929886347	5.796305885	5.33267645
0.229	6.122622794	6.043501286	5.93376279	5.801450162	5.340789716
0.23	6.123942911	6.046016863	5.937579689	5.806525871	5.348825501
0.231	6.1252338	6.048486831	5.941337957	5.811533925	5.356784546
0.232	6.126496108	6.050912016	5.945038496	5.816475226	5.364667584
0.233	6.127730469	6.053293232	5.948682193	5.821350664	5.372475339
0.234	6.128937501	6.055631274	5.95226992	5.826161116	5.380208532
0.235	6.13011781	6.057926926	5.955802537	5.830907449	5.387867875
0.236	6.131271986	6.060180957	5.959280891	5.835590518	5.395454072
0.237	6.132400609	6.062394121	5.962705815	5.840211166	5.402967822
0.238	6.133504244	6.064567158	5.966078131	5.844770224	5.410409817
0.239	6.134583445	6.066700797	5.969398645	5.849268514	5.417780743
0.24	6.135638752	6.068795752	5.972668154	5.853706846	5.425081277
0.241	6.136670694	6.070852724	5.975887442	5.858086019	5.432312093
0.242	6.137679789	6.072872401	5.979057279	5.862406821	5.439473855
0.243	6.138666543	6.074855461	5.982178425	5.866670031	5.446567224
0.244	6.13963145	6.076802566	5.985251629	5.870876416	5.453592853
0.245	6.140574994	6.078714369	5.988277626	5.875026733	5.460551388
0.246	6.141497648	6.08059151	5.991257142	5.879121731	5.46744347
0.247	6.142399874	6.082434617	5.994190891	5.883162146	5.474269734
0.248	6.143282125	6.084244308	5.997079575	5.887148705	5.481030808
0.249	6.144144843	6.086021187	5.999923888	5.891082127	5.487727315
0.25	6.14498846	6.087765851	6.00272451	5.89496312	5.494359872
0.251	6.145813399	6.089478883	6.005482112	5.898792383	5.500929089
0.252	6.146620074	6.091160856	6.008197357	5.902570605	5.507435571
0.253	6.14740889	6.092812334	6.010870893	5.906298467	5.513879918
0.254	6.148180241	6.09443387	6.013503362	5.909976639	5.520262722
0.255	6.148934514	6.096026006	6.016095395	5.913605785	5.526584571
0.256	6.149672088	6.097589276	6.018647612	5.917186558	5.532846048
0.257	6.150393332	6.099124202	6.021160626	5.920719601	5.539047728
0.258	6.151098607	6.1006313	6.023635038	5.924205553	5.545190184
0.259	6.151788267	6.102111073	6.026071442	5.92764504	5.551273981
0.26	6.152462659	6.103564016	6.028470421	5.931038681	5.557299678
0.261	6.153122119	6.104990617	6.03083255	5.934387088	5.563267831
0.262	6.153766979	6.106391353	6.033158395	5.937690864	5.569178988
0.263	6.154397562	6.107766692	6.035448514	5.940950604	5.575033696
0.264	6.155014183	6.109117096	6.037703456	5.944166893	5.580832492
0.265	6.155617153	6.110443015	6.039923759	5.947340313	5.58657591
0.266	6.156206772	6.111744896	6.042109958	5.950471434	5.59226448
0.267	6.156783338	6.113023172	6.044262575	5.953560819	5.597898725
0.268	6.157347138	6.114278272	6.046382127	5.956609026	5.603479164
0.269	6.157898456	6.115510616	6.048469121	5.959616603	5.609006311
0.27	6.158437568	6.116720618	6.050524057	5.962584092	5.614480675
0.271	6.158964743	6.117908681	6.052547429	5.965512026	5.619902759
0.272	6.159480247	6.119075203	6.05453972	5.968400934	5.625273063
0.273	6.159984338	6.120220576	6.056501408	5.971251335	5.630592082
0.274	6.160477268	6.121345183	6.058432963	5.974063743	5.635860305
0.275	6.160959284	6.1224494	6.060334849	5.976838663	5.641078217
0.276	6.161430629	6.123533596	6.06220752	5.979576597	5.6462463
0.277	6.161891538	6.124598136	6.064051426	5.982278036	5.651365028
0.278	6.162342243	6.125643374	6.065867009	5.984943468	5.656434873
0.279	6.162782969	6.126669662	6.067654702	5.987573371	5.661456302
0.28	6.163213937	6.127677343	6.069414936	5.99016822	5.666429777
0.281	6.163635363	6.128666753	6.071148132	5.992728483	5.671355756
0.282	6.164047459	6.129638225	6.072854704	5.995254619	5.676234693
0.283	6.164450432	6.130592084	6.074535063	5.997747084	5.681067037
0.284	6.164844482	6.131528648	6.07618961	6.000206326	5.685853233
0.285	6.165229809	6.132448232	6.077818742	6.002632789	5.690593722
0.286	6.165606604	6.133351144	6.079422849	6.00502691	5.69528894
0.287	6.165975056	6.134237685	6.081002317	6.007389119	5.699939319
0.288	6.166335352	6.135108152	6.082557523	6.009719841	5.704545288
0.289	6.16668767	6.135962837	6.08408884	6.012019498	5.709107271
0.29	6.167032188	6.136802027	6.085596635	6.014288501	5.713625688
0.291	6.167369078	6.137626001	6.087081269	6.016527261	5.718100954
0.292	6.16769851	6.138435036	6.088543099	6.018736181	5.722533483
0.293	6.168020648	6.139229403	6.089982473	6.020915657	5.726923682
0.294	6.168335653	6.140009367	6.091399738	6.023066083	5.731271955
0.295	6.168643685	6.14077519	6.092795233	6.025187845	5.735578703
0.296	6.168944897	6.141527128	6.094169292	6.027281326	5.739844322
0.297	6.169239439	6.142265433	6.095522245	6.029346903	5.744069205
0.298	6.169527461	6.142990353	6.096854416	6.031384948	5.748253741
0.299	6.169809106	6.143702128	6.098166124	6.033395827	5.752398316
0.3	6.170084515	6.144400999	6.099457683	6.035379903	5.756503311
0.301	6.170353827	6.145087199	6.100729402	6.037337534	5.760569103
0.302	6.170617176	6.145760958	6.101981588	6.03926907	5.764596068
0.303	6.170874694	6.146422501	6.103214539	6.041174861	5.768584577
0.304	6.171126511	6.14707205	6.104428551	6.043055249	5.772534996
0.305	6.171372753	6.147709822	6.105623915	6.044910574	5.776447689
0.306	6.171613543	6.148336031	6.106800917	6.046741168	5.780323016
0.307	6.171849002	6.148950886	6.107959841	6.048547363	5.784161335
0.308	6.172079248	6.149554594	6.109100962	6.050329482	5.787962998
0.309	6.172304396	6.150147356	6.110224555	6.052087847	5.791728356
0.31	6.17252456	6.150729371	6.111330889	6.053822775	5.795457756
0.311	6.172739848	6.151300833	6.112420228	6.055534578	5.79915154
0.312	6.172950371	6.151861935	6.113492835	6.057223564	5.80281005
0.313	6.173156232	6.152412863	6.114548966	6.058890037	5.806433621
0.314	6.173357536	6.152953803	6.115588874	6.060534297	5.810022588
0.315	6.173554383	6.153484935	6.116612809	6.062156641	5.813577281
0.316	6.173746871	6.154006437	6.117621015	6.063757361	5.817098028
0.317	6.173935098	6.154518484	6.118613734	6.065336744	5.820585151
0.318	6.174119158	6.155021248	6.119591205	6.066895076	5.824038974
0.319	6.174299142	6.155514896	6.120553661	6.068432636	5.827459813
0.32	6.174475142	6.155999594	6.121501333	6.069949703	5.830847983
0.321	6.174647245	6.156475504	6.122434449	6.071446547	5.834203797
0.322	6.174815538	6.156942785	6.123353231	6.072923441	5.837527564
0.323	6.174980104	6.157401594	6.1242579	6.074380648	5.840819589
0.324	6.175141027	6.157852085	6.125148673	6.075818433	5.844080176
0.325	6.175298387	6.158294408	6.126025762	6.077237052	5.847309625
0.326	6.175452264	6.158728712	6.12688938	6.078636763	5.850508233
0.327	6.175602733	6.159155141	6.127739731	6.080017817	5.853676295
0.328	6.175749871	6.159573839	6.128577021	6.081380463	5.856814103
0.329	6.175893752	6.159984945	6.129401449	6.082724946	5.859921945
0.33	6.176034446	6.160388598	6.130213214	6.084051508	5.863000108
0.331	6.176172026	6.160784933	6.131012509	6.085360388	5.866048874
0.332	6.17630656	6.161174082	6.131799527	6.086651822	5.869068526
0.333	6.176438116	6.161556175	6.132574455	6.087926043	5.872059341
0.334	6.176566758	6.16193134	6.13333748	6.089183279	5.875021593
0.335	6.176692553	6.162299704	6.134088785	6.090423757	5.877955557
0.336	6.176815562	6.162661389	6.134828549	6.0916477	5.880861502
0.337	6.176935848	6.163016516	6.13555695	6.09285533	5.883739696
0.338	6.177053471	6.163365205	6.136274162	6.094046863	5.886590403
0.339	6.177168489	6.163707571	6.136980357	6.095222514	5.889413887
0.34	6.177280962	6.164043731	6.137675705	6.096382494	5.892210406
0.341	6.177390944	6.164373795	6.138360372	6.097527013	5.89498022
0.342	6.177498491	6.164697876	6.139034522	6.098656277	5.897723582
0.343	6.177603656	6.16501608	6.139698316	6.099770488	5.900440746
0.344	6.177706494	6.165328515	6.140351914	6.100869848	5.903131961
0.345	6.177807055	6.165635286	6.140995473	6.101954555	5.905797476
0.346	6.177905389	6.165936495	6.141629146	6.103024803	5.908437535
0.347	6.178001546	6.166232242	6.142253085	6.104080786	5.911052383
0.348	6.178095574	6.166522628	6.14286744	6.105122693	5.913642259
0.349	6.178187521	6.166807748	6.143472359	6.106150713	5.916207402
0.35	6.178277431	6.167087699	6.144067985	6.10716503	5.918748048
0.351	6.178365351	6.167362575	6.144654462	6.108165827	5.921264432
0.352	6.178451325	6.167632467	6.145231931	6.109153285	5.923756785
0.353	6.178535395	6.167897465	6.145800529	6.11012758	5.926225336
0.354	6.178617604	6.168157659	6.146360394	6.111088889	5.928670313
0.355	6.178697993	6.168413135	6.146911658	6.112037385	5.93109194
0.356	6.178776601	6.16866398	6.147454455	6.112973238	5.933490442
0.357	6.17885347	6.168910276	6.147988914	6.113896616	5.935866039
0.358	6.178928636	6.169152107	6.148515163	6.114807687	5.938218948
0.359	6.179002139	6.169389554	6.149033329	6.115706615	5.940549388
0.36	6.179074014	6.169622695	6.149543535	6.11659356	5.942857573
0.361	6.179144298	6.169851609	6.150045904	6.117468683	5.945143715
0.362	6.179213025	6.170076373	6.150540557	6.118332142	5.947408025
0.363	6.179280231	6.170297062	6.151027611	6.119184091	5.949650711
0.364	6.179345949	6.17051375	6.151507184	6.120024685	5.951871979
0.365	6.179410212	6.170726509	6.151979391	6.120854074	5.954072035
0.366	6.179473053	6.17093541	6.152444344	6.121672408	5.956251081
0.367	6.179534502	6.171140524	6.152902155	6.122479835	5.958409317
0.368	6.17959459	6.17134192	6.153352934	6.123276499	5.960546943
0.369	6.179653348	6.171539663	6.153796788	6.124062544	5.962664154
0.37	6.179710806	6.171733822	6.154233825	6.124838112	5.964761147
0.371	6.179766991	6.17192446	6.154664148	6.125603343	5.966838113
0.372	6.179821932	6.172111642	6.155087862	6.126358373	5.968895245
0.373	6.179875657	6.17229543	6.155505067	6.12710334	5.970932732
0.374	6.179928192	6.172475886	6.155915863	6.127838377	5.972950761
0.375	6.179979564	6.17265307	6.15632035	6.128563617	5.974949518
0.376	6.180029799	6.172827042	6.156718623	6.129279189	5.976929188
0.377	6.180078922	6.172997859	6.157110778	6.129985224	5.978889952
0.378	6.180126957	6.17316558	6.15749691	6.130681848	5.980831991
0.379	6.180173928	6.173330259	6.15787711	6.131369187	5.982755483
0.38	6.18021986	6.173491953	6.158251471	6.132047364	5.984660607
0.381	6.180264774	6.173650715	6.158620081	6.132716501	5.986547538
0.382	6.180308695	6.173806599	6.158983028	6.13337672	5.988416448
0.383	6.180351642	6.173959657	6.159340401	6.134028138	5.990267511
0.384	6.180393639	6.174109939	6.159692284	6.134670874	5.992100896
0.385	6.180434707	6.174257497	6.160038762	6.135305042	5.993916773
0.386	6.180474864	6.174402379	6.160379918	6.135930757	5.995715308
0.387	6.180514133	6.174544635	6.160715834	6.136548133	5.997496668
0.388	6.180552533	6.174684311	6.16104659	6.137157279	5.999261016
0.389	6.180590082	6.174821455	6.161372265	6.137758306	6.001008515
0.39	6.1806268	6.174956113	6.161692937	6.138351321	6.002739325
0.391	6.180662705	6.175088329	6.162008684	6.138936432	6.004453607
0.392	6.180697815	6.175218148	6.162319581	6.139513745	6.006151517
0.393	6.180732148	6.175345613	6.162625702	6.140083362	6.007833213
0.394	6.18076572	6.175470767	6.162927121	6.140645386	6.009498849
0.395	6.180798549	6.175593652	6.16322391	6.14119992	6.011148578
0.396	6.180830652	6.175714309	6.16351614	6.141747062	6.012782553
0.397	6.180862044	6.175832779	6.163803881	6.142286911	6.014400924
0.398	6.18089274	6.1759491	6.164087203	6.142819564	6.016003839
0.399	6.180922757	6.176063313	6.164366172	6.143345117	6.017591447
0.4	6.18095211	6.176175455	6.164640856	6.143863666	6.019163893
0.401	6.180980812	6.176285563	6.164911321	6.144375302	6.020721323
0.402	6.181008879	6.176393675	6.165177632	6.144880119	6.02226388
0.403	6.181036325	6.176499828	6.165439851	6.145378207	6.023791705
