t	w1	w2	w3	w4
0.043	3.227753871	2.815441487	2.403129103	1.578504335
0.044	3.315940627	2.896504969	2.477069311	1.638197995
0.045	3.403144076	2.976680049	2.550216021	1.697287966
0.046	3.48935547	3.055956719	2.622557968	1.755760466
0.047	3.574568619	3.134327549	2.694086479	1.813604339
0.048	3.658779596	3.211787385	2.764795173	1.87081075
0.049	3.741986469	3.288333082	2.834679695	1.927372922
0.05	3.824189054	3.363963263	2.903737471	1.983285889
0.051	3.905388708	3.438678103	2.971967498	2.038546287
0.052	3.985588136	3.512479142	3.039370148	2.093152159
0.053	4.064791218	3.58536911	3.105947002	2.147102786
0.054	4.14300286	3.657351778	3.171700697	2.200398535
0.055	4.220228859	3.728431825	3.23663479	2.253040722
0.056	4.296475786	3.798614713	3.30075364	2.305031494
0.057	4.371750873	3.867906585	3.364062297	2.356373721
0.058	4.446061926	3.936314171	3.426566415	2.407070904
0.059	4.519417239	4.003844701	3.488272163	2.457127086
0.06	4.591825519	4.070505834	3.54918615	2.506546782
0.061	4.663295821	4.136305593	3.609315365	2.555334909
0.062	4.733837494	4.201252303	3.668667113	2.603496733
0.063	4.803460123	4.265354545	3.727248967	2.651037811
0.064	4.872173492	4.328621106	3.785068721	2.697963951
0.065	4.939987537	4.391060944	3.842134352	2.744281168
0.066	5.006912316	4.452683149	3.898453982	2.789995649
0.067	5.072957976	4.513496913	3.95403585	2.835113725
0.068	5.138134729	4.573511506	4.008888283	2.879641836
0.069	5.202452823	4.632736246	4.063019669	2.923586515
0.07	5.265922526	4.691180485	4.116438444	2.966954361
0.071	5.328554106	4.748853585	4.169153065	3.009752023
0.072	5.390357815	4.805764906	4.221171998	3.051986181
0.073	5.451343874	4.861923789	4.272503704	3.093663534
0.074	5.511522466	4.917339546	4.323156627	3.134790787
0.075	5.570903719	4.972021448	4.373139178	3.175374637
0.076	5.6294977	5.025978717	4.422459734	3.215421769
0.077	5.687314408	5.079220516	4.471126624	3.254938841
0.078	5.744363768	5.131755946	4.519148124	3.293932481
0.079	5.80065562	5.183594036	4.566532451	3.332409281
0.08	5.856199722	5.234743739	4.613287756	3.370375789
0.081	5.911005739	5.285213931	4.659422123	3.407838506
0.082	5.965083243	5.335013403	4.704943562	3.444803881
0.083	6.01844171	5.38415086	4.749860009	3.481278309
0.084	6.071090517	5.432634919	4.794179321	3.517268125
0.085	6.12303894	5.480474107	4.837909274	3.552779608
0.086	6.174296153	5.527676857	4.881057562	3.58781897
0.087	6.224871227	5.574251511	4.923631795	3.622392363
0.088	6.274773127	5.620206313	4.965639499	3.656505871
0.089	6.324010716	5.665549415	5.007088114	3.690165512
0.09	6.37259275	5.710288872	5.047984995	3.723377239
0.091	6.42052788	5.754432644	5.088337408	3.756146935
0.092	6.467824652	5.797988593	5.128152534	3.788480416
0.093	6.514491509	5.840964488	5.167437468	3.820383427
0.094	6.560536785	5.883368001	5.206199217	3.851861648
0.095	6.605968714	5.925206708	5.244444701	3.882920688
0.096	6.650795425	5.966488091	5.282180756	3.913566088
0.097	6.695024944	6.007219538	5.319414131	3.943803319
0.098	6.738665194	6.047408342	5.35615149	3.973637787
0.099	6.781723998	6.087061705	5.392399413	4.003074828
0.1	6.824209078	6.126186736	5.428164394	4.032119711
0.101	6.866128056	6.164790452	5.463452847	4.060777638
0.102	6.907488456	6.202879779	5.498271101	4.089053746
0.103	6.948297704	6.240461554	5.532625404	4.116953104
0.104	6.98856313	6.277542526	5.566521923	4.144480716
0.105	7.028291966	6.314129355	5.599966744	4.171641523
0.106	7.067491351	6.350228613	5.632965876	4.1984404
