t	I1	I2	I3	I4	i5
0.108	6.077727272	6.571431411	7.021682777	7.423887683	8.37749157
0.109	6.049445947	6.539321307	6.987563088	7.388920108	8.34333333
0.11	6.021789879	6.507792548	6.953966704	7.354417851	8.309500568
0.111	5.994745328	6.476834692	6.920885681	7.3203748	8.275990263
0.112	5.968298848	6.446437472	6.888312184	7.286784914	8.24279941
0.113	5.94243728	6.416590801	6.85623849	7.253642222	8.209925024
0.114	5.917147746	6.387284765	6.824656986	7.220940827	8.177364142
0.115	5.892417644	6.35850962	6.793560168	7.188674901	8.145113823
0.116	5.868234645	6.330255793	6.762940642	7.156838688	8.113171145
0.117	5.844586685	6.302513879	6.732791119	7.125426503	8.081533211
0.118	5.821461963	6.275274638	6.70310442	7.094432731	8.050197147
0.119	5.798848933	6.248528991	6.673873468	7.06385183	8.019160101
0.12	5.7767363	6.22226802	6.645091295	7.033678325	7.988419245
0.121	5.755113015	6.196482968	6.616751034	7.003906811	7.957971776
0.122	5.733968271	6.171165229	6.588845919	6.974531953	7.927814912
0.123	5.713291496	6.146306353	6.561369287	6.945548486	7.897945898
0.124	5.69307235	6.121898039	6.534314576	6.916951208	7.868362001
0.125	5.67330072	6.097932136	6.507675321	6.88873499	7.839060515
0.126	5.653966713	6.074400638	6.481445153	6.860894764	7.810038754
0.127	5.635060655	6.051295681	6.455617803	6.833425532	7.781294059
0.128	5.616573083	6.028609544	6.430187093	6.80632236	7.752823794
0.129	5.598494744	6.006334644	6.405146941	6.779580378	7.724625348
0.13	5.580816586	5.984463533	6.380491356	6.75319478	7.696696132
0.131	5.563529759	5.9629889	6.356214439	6.727160823	7.669033583
0.132	5.546625606	5.941903562	6.33231038	6.701473827	7.64163516
0.133	5.53009566	5.921200468	6.308773458	6.676129172	7.614498346
0.134	5.513931644	5.900872693	6.285598038	6.651122301	7.587620648
0.135	5.498125461	5.880913437	6.262778572	6.626448716	7.560999595
0.136	5.482669192	5.861316022	6.240309597	6.602103978	7.53463274
0.137	5.467555095	5.842073893	6.218185733	6.578083708	7.50851766
0.138	5.452775598	5.823180611	6.196401681	6.554383584	7.482651952
0.139	5.438323296	5.804629854	6.174952224	6.530999342	7.457033237
0.14	5.424190947	5.786415414	6.153832226	6.507926772	7.43165916
0.141	5.41037147	5.768531197	6.133036628	6.485161724	7.406527386
0.142	5.396857941	5.750971217	6.11256045	6.4627001	7.381635603
0.143	5.383643588	5.733729597	6.092398785	6.440537857	7.35698152
0.144	5.370721788	5.716800567	6.072546805	6.418671007	7.332562868
0.145	5.358086066	5.700178461	6.052999754	6.397095612	7.308377402
0.146	5.34573009	5.683857715	6.033752949	6.375807791	7.284422895
0.147	5.333647667	5.667832866	6.01480178	6.354803709	7.260697141
0.148	5.321832741	5.652098551	5.996141705	6.334079588	7.237197959
0.149	5.310279392	5.636649503	5.977768255	6.313631694	7.213923183
0.15	5.298981828	5.62148055	5.959677028	6.293456348	7.190870673
0.151	5.287934387	5.606586616	5.941863689	6.273549917	7.168038307
0.152	5.277131533	5.591962713	5.924323969	6.253908818	7.145423981
0.153	5.26656785	5.577603948	5.907053668	6.234529513	7.123025615
0.154	5.256238044	5.563505513	5.890048645	6.215408515	7.100841147
0.155	5.246136937	5.549662688	5.873304828	6.196542379	7.078868533
0.156	5.236259466	5.53607084	5.856818204	6.177927711	7.057105752
0.157	5.22660068	5.522725419	5.840584823	6.159561157	7.0355508
0.158	5.217155738	5.509621957	5.824600794	6.141439412	7.014201692
0.159	5.207919905	5.496756067	5.808862289	6.123559212	6.993056463
0.16	5.198888553	5.484123443	5.793365536	6.105917338	6.972113165
0.161	5.190057154	5.471719855	5.778106821	6.088510613	6.951369872
0.162	5.18142128	5.45954115	5.763082489	6.071335904	6.930824671
0.163	5.172976605	5.447583252	5.748288939	6.054390117	6.910475673
0.164	5.164718893	5.435842158	5.733722626	6.037670202	6.890321004
0.165	5.156644007	5.424313936	5.71938006	6.021173148	6.870358808
0.166	5.148747898	5.412994728	5.705257805	6.004895985	6.850587246
0.167	5.141026609	5.401880743	5.691352475	5.988835781	6.831004498
0.168	5.133476269	5.390968262	5.67766074	5.972989645	6.811608762
0.169	5.126093094	5.38025363	5.664179318	5.957354724	6.792398252
0.17	5.118873381	5.369733261	5.650904979	5.941928202	6.773371198
0.171	5.111813513	5.359403633	5.637834541	5.926707302	6.754525849
0.172	5.10490995	5.349261287	5.624964874	5.911689283	6.735860469
0.173	5.098159233	5.339302829	5.612292892	5.89687144	6.71737334
0.174	5.091557976	5.329524923	5.59981556	5.882251107	6.69906276
0.175	5.085102871	5.319924297	5.587529887	5.867825649	6.680927042
0.176	5.078790682	5.310497736	5.57543293	5.853592469	6.662964517
0.177	5.072618245	5.301242084	5.56352179	5.839549006	6.645173531
0.178	5.066582466	5.292154243	5.551793612	5.825692729	6.627552446
0.179	5.060680319	5.283231171	5.540245586	5.812021144	6.610099639
0.18	5.054908846	5.274469879	5.528874945	5.79853179	6.592813503
0.181	5.049265153	5.265867435	5.517678964	5.785222236	6.575692446
0.182	5.043746412	5.257420959	5.506654961	5.772090087	6.558734893
0.183	5.038349856	5.249127623	5.495800293	5.759132978	6.541939281
0.184	5.03307278	5.24098465	5.48511236	5.746348576	6.525304064
0.185	5.027912538	5.232989315	5.4745886	5.733734579	6.508827711
0.186	5.022866545	5.22513894	5.464226491	5.721288715	6.492508704
0.187	5.017932269	5.217430897	5.454023551	5.709008743	6.47634554
0.188	5.013107239	5.209862607	5.443977335	5.696892453	6.460336732
0.189	5.008389036	5.202431534	5.434085435	5.684937662	6.444480805
0.19	5.003775293	5.195135191	5.42434548	5.673142219	6.428776299
0.191	4.999263699	5.187971135	5.414755138	5.661503998	6.413221769
0.192	4.994851992	5.180936969	5.405312109	5.650020904	6.397815782
0.193	4.99053796	5.174030336	5.396014131	5.63869087	6.382556919
0.194	4.986319441	5.167248925	5.386858976	5.627511855	6.367443776
0.195	4.98219432	5.160590466	5.37784445	5.616481847	6.35247496
0.196	4.97816053	5.154052728	5.368968393	5.605598859	6.337649094
0.197	4.974216047	5.147633524	5.360228678	5.594860932	6.322964813
0.198	4.970358896	5.141330705	5.35162321	5.584266132	6.308420764
0.199	4.966587142	5.135142159	5.343149927	5.573812551	6.294015608
0.2	4.962898895	5.129065816	5.3348068	5.563498307	6.279748019
0.201	4.959292307	5.12309964	5.326591828	5.553321544	6.265616682
0.202	4.955765568	5.117241636	5.318503044	5.543280427	6.251620298
0.203	4.952316911	5.11148984	5.310538508	5.53337315	6.237757576
0.204	4.948944607	5.105842329	5.302696313	5.523597928	6.224027242
0.205	4.945646967	5.10029721	5.294974579	5.513953002	6.210428029
0.206	4.942422336	5.094852628	5.287371455	5.504436633	6.196958687
0.207	4.939269099	5.08950676	5.27988512	5.49504711	6.183617974
