t	I1	I2	I3	I4
0.045	10.65620586	9.765589599	8.830931626	7.616183633
0.046	10.60173714	9.683625231	8.724309388	7.484982203
0.047	10.54598116	9.600903749	8.617756066	7.355329634
0.048	10.48914637	9.517643141	8.51149205	7.227428356
0.049	10.43141761	9.434035671	8.40570942	7.101448699
0.05	10.37295861	9.350250627	8.300574993	6.977532455
0.051	10.31391428	9.266436797	8.196233062	6.85579611
0.052	10.25441278	9.182724701	8.092807876	6.736333744
0.053	10.19456731	9.09922859	7.990405855	6.619219655
0.054	10.13447778	9.01604824	7.889117592	6.504510709
0.055	10.07423232	8.933270558	7.789019641	6.39224845
0.056	10.0139085	8.850971023	7.690176118	6.282460993
0.057	9.953574605	8.769214968	7.592640141	6.175164713
0.058	9.893290624	8.68805873	7.496455107	6.070365759
0.059	9.833109196	8.607550672	7.401655836	5.968061394
0.06	9.773076448	8.527732096	7.308269596	5.868241203
0.061	9.713232726	8.448638057	7.216317007	5.770888153
0.062	9.653613262	8.370298084	7.125812854	5.675979544
0.063	9.594248754	8.292736827	7.036766804	5.583487847
0.064	9.535165884	8.215974628	6.949184051	5.493381449
0.065	9.476387786	8.140028027	6.863065878	5.405625312
0.066	9.417934453	8.064910218	6.778410168	5.320181552
0.067	9.359823098	7.990631445	6.695211845	5.237009951
0.068	9.302068479	7.917199361	6.613463276	5.156068408
0.069	9.244683186	7.844619343	6.533154619	5.077313336
0.07	9.187677894	7.772894767	6.454274133	5.000700006
0.071	9.131061586	7.702027263	6.376808455	4.926182852
0.072	9.074841752	7.632016928	6.30074284	4.853715737
0.073	9.019024567	7.562862521	6.226061378	4.78325218
0.074	8.963615046	7.494561639	6.152747179	4.71474556
0.075	8.908617183	7.427110861	6.080782543	4.648149287
0.076	8.85403407	7.360505891	6.010149102	4.583416951
0.077	8.799868009	7.294741671	5.940827955	4.52050245
0.078	8.746120604	7.229812486	5.872799774	4.4593601
0.079	8.692792851	7.165712059	5.806044908	4.399944729
0.08	8.639885204	7.102433631	5.740543468	4.342211753
0.081	8.587397649	7.039970033	5.676275404	4.286117241
0.082	8.53532976	6.978313751	5.613220568	4.231617974
0.083	8.483680749	6.917456979	5.551358777	4.178671483
0.084	8.43244951	6.857391671	5.490669858	4.12723609
0.085	8.381634667	6.798109584	5.431133695	4.077270933
0.086	8.331234599	6.739602315	5.372730265	4.028735989
0.087	8.281247481	6.681861335	5.315439671	3.981592089
0.088	8.231671304	6.624878017	5.259242169	3.935800929
0.089	8.182503904	6.568643666	5.204118195	3.891325075
0.09	8.133742983	6.513149536	5.15004838	3.848127968
0.091	8.085386126	6.458386856	5.097013571	3.806173922
0.092	8.037430821	6.404346841	5.044994845	3.76542812
0.093	7.989874471	6.351020711	4.99397352	3.725856608
0.094	7.942714406	6.298399704	4.943931164	3.687426288
0.095	7.895947899	6.246475085	4.894849605	3.650104908
0.096	7.849572173	6.195238159	4.846710937	3.613861048
0.097	7.80358441	6.144680278	4.799497524	3.578664113
0.098	7.75798176	6.094792847	4.753192001	3.544484317
0.099	7.712761345	6.045567335	4.707777283	3.511292665
0.1	7.66792027	5.996995275	4.663236562	3.479060944
0.101	7.623455624	5.94906827	4.619553306	3.447761705
0.102	7.579364487	5.901778002	4.576711266	3.417368247
0.103	7.535643933	5.855116228	4.534694466	3.387854601
0.104	7.492291034	5.809074787	4.493487211	3.359195514
0.105	7.449302863	5.763645602	4.453074079	3.331366433
0.106	7.406676497	5.71882068	4.413439921	3.304343488
0.107	7.364409019	5.674592116	4.37456986	3.278103476
0.108	7.322497522	5.630952093	4.336449287	3.252623843
0.109	7.280939106	5.587892881	4.299063855	3.227882672
0.11	7.239730886	5.545406841	4.262399484	3.203858662
0.111	7.198869989	5.503486425	4.226442348	3.180531115
0.112	7.158353556	5.462124171	4.19117888	3.157879921
0.113	7.118178743	5.421312711	4.156595762	3.13588554
0.114	7.078342725	5.381044766	4.122679925	3.114528988
0.115	7.038842691	5.341313145	4.089418546	3.093791824
0.116	6.999675848	5.302110748	4.056799038	3.073656131
0.117	6.960839424	5.263430563	4.024809057	3.054104509
0.118	6.922330664	5.225265669	3.993436486	3.035120051
0.119	6.884146831	5.187609229	3.96266944	3.01668634
0.12	6.846285209	5.150454496	3.93249626	2.998787427
0.121	6.808743102	5.113794809	3.902905506	2.981407823
0.122	6.771517832	5.077623591	3.873885958	2.964532483
0.123	6.734606744	5.041934352	3.845426606	2.948146797
0.124	6.698007201	5.006720686	3.817516655	2.932236574
0.125	6.661716587	4.971976269	3.790145511	2.916788035
0.126	6.625732306	4.93769486	3.763302787	2.901787796
0.127	6.590051783	4.903870301	3.736978292	2.887222859
0.128	6.554672464	4.870496512	3.711162031	2.873080604
0.129	6.519591813	4.837567495	3.6858442	2.859348774
0.13	6.484807317	4.80507733	3.661015185	2.846015466
0.131	6.450316482	4.773020174	3.636665554	2.833069122
0.132	6.416116834	4.741390263	3.612786058	2.820498517
0.133	6.38220592	4.710181907	3.589367625	2.808292753
0.134	6.348581307	4.679389494	3.566401358	2.796441245
0.135	6.315240582	4.649007482	3.543878529	2.784933717
0.136	6.28218135	4.619030406	3.521790582	2.773760189
0.137	6.24940124	4.589452872	3.500129122	2.76291097
0.138	6.216897895	4.560269557	3.478885916	2.75237665
0.139	6.184668983	4.53147521	3.458052893	2.742148092
0.14	6.152712188	4.503064648	3.437622134	2.732216424
0.141	6.121025214	4.475032758	3.417585873	2.72257303
0.142	6.089605785	4.447374494	3.397936495	2.713209545
0.143	6.058451644	4.420084878	3.378666531	2.704117846
0.144	6.027560551	4.393158998	3.359768656	2.695290045
0.145	5.996930286	4.366592007	3.341235687	2.686718484
0.146	5.966558649	4.340379122	3.323060578	2.678395727
0.147	5.936443457	4.314515624	3.305236421	2.670314551
0.148	5.906582544	4.288996858	3.287756439	2.662467947
0.149	5.876973765	4.263818228	3.270613988	2.654849105
0.15	5.847614992	4.238975202	3.25380255	2.647451416
0.151	5.818504113	4.214463307	3.237315735	2.64026846
0.152	5.789639036	4.190278131	3.221147274	2.633294005
0.153	5.761017686	4.166415318	3.205291021	2.626521999
0.154	5.732638006	4.142870572	3.189740947	2.619946566
0.155	5.704497956	4.119639654	3.174491141	2.613562001
0.156	5.676595511	4.096718382	3.159535804	2.607362763
0.157	5.648928667	4.074102628	3.144869251	2.601343473
0.158	5.621495433	4.05178832	3.130485906	2.595498908
0.159	5.594293839	4.029771441	3.116380301	2.589823997
0.16	5.567321927	4.008048026	3.102547071	2.584313814
0.161	5.540577759	3.986614164	3.088980959	2.578963579
0.162	5.514059412	3.965465995	3.075676806	2.573768649
0.163	5.487764979	3.944599712	3.062629554	2.568724515
