t	U1	U2	U3	U4
0.111	9.989990599	9.989990599	9.989990599	9.989990599
0.112	9.989991703	9.989991703	9.989991703	9.989991703
0.113	9.989992678	9.989992678	9.989992678	9.989992678
0.114	9.989993539	9.989993539	9.989993539	9.989993539
0.115	9.989994298	9.989994298	9.989994298	9.989994298
0.116	9.989994968	9.989994968	9.989994968	9.989994968
0.117	9.989995559	9.989995559	9.989995559	9.989995559
0.118	9.989996081	9.989996081	9.989996081	9.989996081
0.119	9.989996542	9.989996542	9.989996542	9.989996542
0.12	9.989996948	9.989996948	9.989996948	9.989996948
0.121	9.989997307	9.989997307	9.989997307	9.989997307
0.122	9.989997623	9.989997623	9.989997623	9.989997623
0.123	9.989997903	9.989997903	9.989997903	9.989997903
0.124	9.989998149	9.989998149	9.989998149	9.989998149
0.125	9.989998367	9.989998367	9.989998367	9.989998367
0.126	9.989998559	9.989998559	9.989998559	9.989998559
0.127	9.989998728	9.989998728	9.989998728	9.989998728
0.128	9.989998877	9.989998877	9.989998877	9.989998877
0.129	9.989999009	9.989999009	9.989999009	9.989999009
0.13	9.989999126	9.989999126	9.989999126	9.989999126
0.131	9.989999228	9.989999228	9.989999228	9.989999228
0.132	9.989999319	9.989999319	9.989999319	9.989999319
0.133	9.989999399	9.989999399	9.989999399	9.989999399
0.134	9.98999947	9.98999947	9.98999947	9.98999947
0.135	9.989999532	9.989999532	9.989999532	9.989999532
0.136	9.989999587	9.989999587	9.989999587	9.989999587
0.137	9.989999636	9.989999636	9.989999636	9.989999636
0.138	9.989999678	9.989999678	9.989999678	9.989999678
0.139	9.989999716	9.989999716	9.989999716	9.989999716
0.14	9.98999975	9.98999975	9.98999975	9.98999975
0.141	9.989999779	9.989999779	9.989999779	9.989999779
0.142	9.989999805	9.989999805	9.989999805	9.989999805
0.143	9.989999828	9.989999828	9.989999828	9.989999828
0.144	9.989999848	9.989999848	9.989999848	9.989999848
0.145	9.989999866	9.989999866	9.989999866	9.989999866
0.146	9.989999882	9.989999882	9.989999882	9.989999882
