t	I1	I2	I3	I4
0.087	7.082093222	5.08652849	3.408754526	1.805231864
0.088	7.022377365	5.018819666	3.343031163	1.752948927
0.089	6.963155904	4.95200277	3.27856527	1.702169736
0.09	6.904425815	4.886067152	3.215333928	1.652852262
0.091	6.846183968	4.821002158	3.153314499	1.604955508
0.092	6.788427139	4.75679715	3.092484645	1.5584395
0.093	6.731152026	4.693441517	3.032822333	1.513265277
0.094	6.674355263	4.630924692	2.974305846	1.46939488
0.095	6.618033427	4.569236157	2.916913792	1.426791335
0.096	6.562183055	4.508365459	2.860625103	1.38541864
0.097	6.506800648	4.448302216	2.805419043	1.345241749
0.098	6.45188268	4.389036122	2.751275212	1.306226552
0.099	6.397425604	4.330556955	2.698173543	1.268339862
0.1	6.34342586	4.272854583	2.646094304	1.231549389
0.101	6.289879879	4.215918966	2.595018099	1.195823729
0.102	6.236784088	4.159740162	2.544925866	1.161132339
0.103	6.184134913	4.104308329	2.495798875	1.127445521
0.104	6.131928784	4.049613726	2.447618726	1.0947344
0.105	6.080162138	3.995646718	2.400367345	1.062970907
0.106	6.028831421	3.942397774	2.354026985	1.032127758
0.107	5.977933089	3.889857474	2.308580217	1.002178434
0.108	5.927463615	3.838016502	2.264009932	0.973097163
0.109	5.877419484	3.786865654	2.220299333	0.944858902
0.11	5.827797201	3.736395832	2.177431933	0.917439315
0.111	5.778593287	3.686598049	2.135391548	0.890814758
0.112	5.729804284	3.637463428	2.094162297	0.864962258
0.113	5.681426753	3.5889832	2.053728596	0.839859499
0.114	5.633457277	3.541148704	2.01407515	0.815484798
0.115	5.585892464	3.493951388	1.975186954	0.791817096
0.116	5.538728939	3.447382807	1.937049283	0.768835933
0.117	5.491963355	3.401434624	1.899647694	0.746521438
0.118	5.445592387	3.356098606	1.862968013	0.724854309
0.119	5.399612733	3.311366628	1.826996337	0.703815799
0.12	5.354021116	3.267230668	1.791719027	0.683387698
0.121	5.308814284	3.223682807	1.757122704	0.663552323
0.122	5.26398901	3.180715228	1.723194243	0.644292498
0.123	5.219542089	3.138320219	1.68992077	0.625591544
0.124	5.175470345	3.096490163	1.657289658	0.607433261
