t	alpha1	alpha2	alpha3	alpha4	alpha5
0.208	1.724394215	1.618460196	1.520760341	1.431508003	1.209753068
0.209	1.736316338	1.630171718	1.532198885	1.442633039	1.219853873
0.21	1.748242551	1.641890409	1.543647696	1.453771163	1.229973837
0.211	1.760172764	1.653616138	1.555106615	1.4649222	1.240112774
0.212	1.77210689	1.665348778	1.566575488	1.476085977	1.250270506
0.213	1.784044841	1.677088204	1.578054161	1.487262326	1.260446852
0.214	1.795986532	1.688834292	1.589542484	1.498451078	1.270641635
0.215	1.807931881	1.700586922	1.601040309	1.509652069	1.280854677
0.216	1.819880807	1.712345975	1.61254749	1.520865134	1.291085806
0.217	1.831833231	1.724111335	1.624063883	1.532090113	1.301334849
0.218	1.843789075	1.735882888	1.635589346	1.543326848	1.311601633
0.219	1.855748263	1.74766052	1.647123741	1.554575181	1.32188599
0.22	1.867710722	1.759444123	1.65866693	1.565834959	1.332187753
0.221	1.879676379	1.771233587	1.670218778	1.577106027	1.342506754
0.222	1.891645163	1.783028806	1.681779152	1.588388237	1.352842829
0.223	1.903617005	1.794829677	1.693347921	1.599681439	1.363195815
0.224	1.915591837	1.806636096	1.704924956	1.610985487	1.373565551
0.225	1.927569593	1.818447963	1.716510131	1.622300237	1.383951877
0.226	1.939550209	1.830265179	1.728103319	1.633625545	1.394354633
0.227	1.95153362	1.842087648	1.739704398	1.644961271	1.404773665
0.228	1.963519766	1.853915273	1.751313247	1.656307276	1.415208814
0.229	1.975508585	1.865747962	1.762929747	1.667663423	1.425659929
0.23	1.987500019	1.877585623	1.774553779	1.679029578	1.436126857
0.231	1.999494009	1.889428165	1.786185229	1.690405605	1.446609446
0.232	2.011490499	1.9012755	1.797823982	1.701791375	1.457107547
0.233	2.023489434	1.913127541	1.809469926	1.713186757	1.467621011
0.234	2.035490759	1.924984204	1.82112295	1.724591623	1.478149693
0.235	2.047494422	1.936845403	1.832782947	1.736005846	1.488693446
0.236	2.05950037	1.948711057	1.844449808	1.747429302	1.499252128
0.237	2.071508554	1.960581085	1.856123428	1.758861868	1.509825594
0.238	2.083518923	1.972455407	1.867803705	1.770303422	1.520413705
0.239	2.095531429	1.984333947	1.879490534	1.781753845	1.531016319
0.24	2.107546026	1.996216627	1.891183816	1.793213018	1.5416333
0.241	2.119562666	2.008103372	1.902883451	1.804680824	1.552264509
0.242	2.131581304	2.019994109	1.914589343	1.81615715	1.56290981
0.243	2.143601897	2.031888765	1.926301394	1.82764188	1.57356907
0.244	2.1556244	2.043787269	1.93801951	1.839134903	1.584242154
0.245	2.167648773	2.055689552	1.949743598	1.850636109	1.594928931
0.246	2.179674972	2.067595544	1.961473567	1.862145389	1.60562927
0.247	2.191702958	2.07950518	1.973209325	1.873662634	1.616343042
0.248	2.203732692	2.091418391	1.984950785	1.885187738	1.627070117
0.249	2.215764134	2.103335115	1.996697858	1.896720598	1.63781037
0.25	2.227797247	2.115255287	2.008450458	1.908261109	1.648563674
0.251	2.239831993	2.127178844	2.020208501	1.91980917	1.659329905
