t	w	U	I	alpha
0.046	3.48935547	9.958220462	8.67851792	0.129470141
0.047	3.574568619	9.961954972	8.577209192	0.136387063
0.048	3.658779596	9.965250628	8.475608162	0.143469881
0.049	3.741986469	9.968159001	8.373903961	0.150716628
0.05	3.824189054	9.970725603	8.27226276	0.158125339
0.051	3.905388708	9.972990596	8.17083025	0.165694047
0.052	3.985588136	9.974989422	8.069733876	0.173420792
0.053	4.064791218	9.97675336	7.969084839	0.181303617
0.054	4.14300286	9.978310013	7.868979893	0.189340576
0.055	4.220228859	9.979683739	7.769502954	0.197529733
0.056	4.296475786	9.980896034	7.670726541	0.205869165
0.057	4.371750873	9.981965868	7.572713056	0.214356961
0.058	4.446061926	9.982909983	7.475515943	0.222991226
0.059	4.519417239	9.983743153	7.3791807	0.231770079
0.06	4.591825519	9.984478414	7.283745804	0.240691657
0.061	4.663295821	9.985127272	7.189243514	0.249754115
0.062	4.733837494	9.985699881	7.095700601	0.258955625
0.063	4.803460123	9.986205201	7.003138989	0.268294377
0.064	4.872173492	9.986651139	6.91157633	0.277768582
0.065	4.939987537	9.987044674	6.821026507	0.287376468
0.066	5.006912316	9.987391963	6.731500092	0.297116284
0.067	5.072957976	9.987698442	6.64300474	0.306986299
0.068	5.138134729	9.987968905	6.55554555	0.316984801
0.069	5.202452823	9.988207585	6.469125376	0.327110098
0.07	5.265922526	9.988418217	6.383745107	0.337360519
0.071	5.328554106	9.988604097	6.299403915	0.347734412
0.072	5.390357815	9.988768134	6.216099474	0.358230147
0.073	5.451343874	9.988912894	6.133828151	0.368846111
0.074	5.511522466	9.989040643	6.052585182	0.379580715
0.075	5.570903719	9.98915338	5.972364819	0.390432386
0.076	5.6294977	9.989252869	5.893160466	0.401399572
0.077	5.687314408	9.989340667	5.814964797	0.412480743
0.078	5.744363768	9.989418147	5.73776986	0.423674384
0.079	5.80065562	9.989486522	5.66156717	0.434979005
0.08	5.856199722	9.989546863	5.58634779	0.446393129
0.081	5.911005739	9.989600112	5.5121024	0.457915303
0.082	5.965083243	9.989647104	5.438821365	0.469544091
0.083	6.01844171	9.989688574	5.366494786	0.481278075
0.084	6.071090517	9.989725171	5.295112554	0.493115857
0.085	6.12303894	9.989757467	5.224664386	0.505056054
0.086	6.174296153	9.989785967	5.155139869	0.517097306
0.087	6.224871227	9.989811119	5.08652849	0.529238268
