t	w1	w2	w3	w4
0.19	7.734979356	9.029218937	9.64339329	9.91075076
0.191	7.753844889	9.041748472	9.649685183	9.912448313
0.192	7.772551125	9.054110999	9.655855581	9.91409659
0.193	7.79109941	9.066308744	9.661906828	9.915697021
0.194	7.809491077	9.078343904	9.667841227	9.917250995
0.195	7.827727449	9.090218645	9.673661033	9.91875986
0.196	7.845809837	9.101935107	9.679368459	9.920224926
0.197	7.863739542	9.113495399	9.684965675	9.921647464
0.198	7.881517851	9.124901602	9.69045481	9.923028709
0.199	7.899146045	9.136155771	9.695837949	9.924369859
0.2	7.91662539	9.147259931	9.701117141	9.925672079
0.201	7.933957143	9.158216082	9.706294392	9.926936497
0.202	7.951142551	9.169026198	9.711371671	9.928164212
0.203	7.968182848	9.179692224	9.716350908	9.929356289
0.204	7.985079262	9.190216081	9.721233996	9.930513763
0.205	8.001833005	9.200599665	9.726022792	9.931637637
0.206	8.018445284	9.210844845	9.730719117	9.932728888
0.207	8.034917292	9.220953465	9.735324756	9.933788462
0.208	8.051250214	9.230927346	9.739841461	9.934817279
0.209	8.067445225	9.240768284	9.744270949	9.935816231
0.21	8.083503488	9.250478051	9.748614904	9.936786186
0.211	8.099426159	9.260058395	9.752874977	9.937727985
0.212	8.115214382	9.269511042	9.757052789	9.938642446
0.213	8.130869293	9.278837693	9.761149927	9.939530361
0.214	8.146392017	9.288040029	9.76516795	9.940392503
0.215	8.161783671	9.297119705	9.769108386	9.941229618
0.216	8.177045361	9.306078357	9.772972731	9.942042433
0.217	8.192178185	9.314917597	9.776762457	9.942831654
0.218	8.20718323	9.323639019	9.780479004	9.943597966
0.219	8.222061576	9.332244192	9.784123784	9.944342033
0.22	8.236814292	9.340734665	9.787698184	9.945064502
0.221	8.25144244	9.349111968	9.791203562	9.945765998
0.222	8.265947071	9.357377608	9.794641252	9.946447132
0.223	8.280329228	9.365533075	9.798012561	9.947108494
0.224	8.294589945	9.373579837	9.80131877	9.947750658
