t	w	alpha
0.103	7.646061187	0.911357097
0.104	7.654625075	0.92593619
0.105	7.71209874	0.940541029
0.106	7.720766962	0.95524513
0.107	7.776321929	0.969974781
0.108	7.785077565	0.984800453
0.109	7.838780505	0.999651462
0.11	7.847607683	1.014595362
0.111	7.89952286	1.029564372
0.112	7.908406698	1.044623249
0.113	7.958596063	1.059706996
0.114	7.967522623	1.074877688
0.115	8.016045894	1.090072997
0.116	8.025002133	1.105352429
0.117	8.071916882	1.120656215
0.118	8.080890605	1.136041396
0.119	8.126252338	1.151450658
0.12	8.135232157	1.166938681
0.121	8.179094388	1.182450502
0.122	8.188069677	1.198038536
0.123	8.230484006	1.213650079
0.124	8.239444864	1.229335375
0.125	8.280461043	1.245043882
0.126	8.289398257	1.260823764
0.127	8.329064262	1.276626554
0.128	8.337969267	1.29249842
0.129	8.376331364	1.308392885
0.13	8.385196212	1.324354205
0.131	8.422299018	1.340337809
0.132	8.431116345	1.356386122
0.133	8.467002888	1.372456402
0.134	8.475765882	1.388589314
0.135	8.510477663	1.404743872
0.136	8.519180036	1.420959056
0.137	8.552757083	1.437195562
0.138	8.56139304	1.453490755
0.139	8.593873961	1.469806943
0.14	8.602438176	1.486179943
0.141	8.633860215	1.502573609
0.142	8.642347803	1.519022275
0.143	8.672746887	1.535491279
0.144	8.68115338	1.552013529
0.145	8.710564167	1.568555786
0.146	8.718885495	1.585149596
0.147	8.747341422	1.601763082
0.148	8.755573883	1.618426482
0.149	8.78310721	1.635109228
0.15	8.791247457	1.651840303
0.151	8.81788931	1.668590393
0.152	8.825934325	1.685387281
0.153	8.851714739	1.702202855
0.154	8.859661817	1.719063745
0.155	8.884609771	1.735942991
0.156	8.892456504	1.752866121
0.157	8.916599963	1.769807281
0.158	8.924344217	1.786790938
0.159	8.94771017	1.803792299
0.16	8.955350074	1.820834818
0.161	8.977964567	1.837894716
0.162	8.985498493	1.854994476
0.163	9.007386664	1.872111295
0.164	9.014813217	1.88926672
0.165	9.035999329	1.906438885
0.166	9.043317329	1.923648444
0.167	9.0638248	1.940874426
0.168	9.071033271	1.958136629
0.169	9.090884707	1.97541494
0.17	9.097982865	1.992728337
0.171	9.117200088	2.010057531
0.172	9.124187325	2.027420713
0.173	9.142791402	2.044799385
0.174	9.149667278	2.062210981
0.175	9.167678547	2.079637762
0.176	9.174442779	2.09709644
0.177	9.191880876	2.114570002
0.178	9.198533327	2.132074465
0.179	9.21541721	2.149593515
0.18	9.221957879	2.167142503
0.181	9.238305855	2.184705783
0.182	9.244734869	2.202298071
0.183	9.260564614	2.21990436
0.184	9.266882218	2.237538754
0.185	9.282210802	2.255186863
0.186	9.288417351	2.272862205
0.187	9.303261258	2.290550978
0.188	9.309357209	2.308266141
0.189	9.323732359	2.325994455
0.19	9.329718264	2.343748341
0.191	9.343640032	2.361515104
0.192	9.349516532	2.379306648
0.193	9.36299977	2.397110797
0.194	9.368767585	2.414938962
0.195	9.381826637	2.432779464
0.196	9.387486562	2.450643241
0.197	9.400135284	2.468519093
0.198	9.405688186	2.486417501
0.199	9.417939962	2.504327725
0.2	9.423386768	2.522259811
0.201	9.435254529	2.540203458
0.202	9.440596224	2.558168294
0.203	9.452092463	2.576144441
0.204	9.457330086	2.594141126
0.205	9.468466872	2.612148874
0.206	9.47360151	2.630176531
0.207	9.484390503	2.648215008
0.208	9.489423286	2.666272783
0.209	9.499875754	2.68434114
0.21	9.504807852	2.702428204
0.211	9.514934684	2.720525616
0.212	9.519767301	2.738641162
0.213	9.529579016	2.756766826
0.214	9.534313389	2.77491007
0.215	9.543820157	2.793063205
0.216	9.548457551	2.811233384
0.217	9.557669196	2.829413232
0.218	9.5622109	2.847609605
0.219	9.57113692	2.865815428
0.22	9.575584245	2.884037272
0.221	9.584233819	2.902268353
0.222	9.588588094	2.920514967
0.223	9.596970094	2.938770607
0.224	9.601232664	2.957041309
0.225	9.609355666	2.975320832
0.226	9.613527891	2.993614958
0.227	9.621400185	3.011917702
0.228	9.625483433	3.030234608
0.229	9.633113034	3.048559933
0.23	9.637108683	3.06689899
0.231	9.644503338	3.085246272
0.232	9.648412773	3.10360687
0.233	9.655579973	3.121975503
0.234	9.659404582	3.140357049
0.235	9.66635157	3.158746443
0.236	9.670092744	3.17714836
0.237	9.676826522	3.195557942
0.238	9.680485654	3.213979669
0.239	9.687012993	3.232408881
0.24	9.690591473	3.250849872
0.241	9.696918921	3.269298172
0.242	9.700418138	3.287757896
0.243	9.706552028	3.306224757
0.244	9.709973366	3.324702698
0.245	9.715919821	3.343187608
0.246	9.71926466	3.361683264
0.247	9.725029602	3.380185724
0.248	9.728299316	3.398698608
0.249	9.733888472	3.417218133
0.25	9.737084426	3.43574777
0.251	9.742503338	3.454283889
0.252	9.745626889	3.472829816
0.253	9.750880916	3.491382071
0.254	9.753933412	3.509943841
0.255	9.759027736	3.528511787
0.256	9.762010514	3.547088963
0.257	9.766950151	3.565672165
0.258	9.769864537	3.584264322
0.259	9.774654338	3.602862361
0.26	9.777501646	3.621469087
0.261	9.782146303	3.640081552
0.262	9.784927836	3.658702444
0.263	9.78943189	3.677328937
0.264	9.792148935	3.695963606
0.265	9.79651678	3.71460374
0.266	9.799170611	3.733251806
0.267	9.803406497	3.751905204
0.268	9.805998374	3.770566298
0.269	9.810106416	3.789232594
0.27	9.812637584	3.807906357
0.271	9.81662176	3.826585195
0.272	9.81909345	3.845271278
0.273	9.822957613	3.863962311
0.274	9.825371038	3.882660374
0.275	9.829118916	3.901363266
0.276	9.831475275	3.92007298
0.277	9.835110474	3.938787403
0.278	9.83741095	3.957508446
0.279	9.840936962	3.976234082
0.28	9.843182721	3.994966142
0.281	9.846602925	4.013702681
0.282	9.848795115	4.032445455
0.283	9.852112783	4.051192597
0.284	9.854252536	4.069945788
0.285	9.857470835	4.08870324
0.286	9.859559266	4.107466563
0.287	9.86268126	4.12623404
0.288	9.864719468	4.145007214
0.289	9.867748124	4.16378444
0.29	9.86973719	4.182567194
0.291	9.87267538	4.201353899
0.292	9.874616368	4.22014597
0.293	9.877466873	4.238941893
0.294	9.879360829	4.257743024
0.295	9.882126343	4.276547909
0.296	9.883974296	4.29535785
0.297	9.886657423	4.314171451
0.298	9.888460385	4.332989959
0.299	9.891063652	4.351812035
0.3	9.892822616	4.370638874
0.301	9.895348466	4.389469192
0.302	9.897064411	4.408304132
0.303	9.899515211	4.427142464
0.304	9.901189096	4.445985282
0.305	9.903567137	4.464831406
0.306	9.905199905	4.483681885
0.307	9.907507408	4.502535587
0.308	9.909099985	4.521393516
0.309	9.911339099	4.540254585
0.31	9.912892393	4.559119759
0.311	9.9150652	4.577987994
0.312	9.916580104	4.596860212
0.313	9.918688619	4.615735414
0.314	9.920166009	4.634614483
0.315	9.922212186	4.653496459
0.316	9.923652919	4.67238219
0.317	9.925638651	4.691270755
0.318	9.92704357	4.710162964
0.319	9.928970688	4.729057934
0.32	9.930340619	4.747956443
0.321	9.932210899	4.766857642
0.322	9.933546651	4.785762277
0.323	9.935361813	4.804669534
0.324	9.936664181	4.823580126
0.325	9.93842589	4.842493273
0.326	9.939695652	4.861409658
0.327	9.941405522	4.880328532
0.328	9.942643441	4.899250551
0.329	9.944303035	4.918174994
0.33	9.945509858	4.937102491
0.331	9.947120693	4.95603235
0.332	9.948297151	4.974965173
0.333	9.949860694	4.993900299
0.334	9.951007506	5.012838302
0.335	9.952525179	5.031778549
0.336	9.953643045	5.05072159
0.337	9.955116227	5.069666816
0.338	9.956205836	5.088614755
0.339	9.957635862	5.107564823
0.34	9.958697887	5.126517526
0.341	9.960086052	5.145472303
0.342	9.961121151	5.164429638
0.343	9.962468709	5.183388993
0.344	9.963477528	5.202350833
0.345	9.964785695	5.22131464
0.346	9.965768865	5.24028086
0.347	9.967038819	5.259248997
0.348	9.967996958	5.278219476
0.349	9.96922984	5.297191823
0.35	9.970163552	5.316166444
0.351	9.971360469	5.335142885
0.352	9.972270346	5.354121534
0.353	9.973432372	5.373101955
0.354	9.974318991	5.392084522
0.355	9.975447165	5.411068813
0.356	9.976311093	5.430055189
0.357	9.977406422	5.449043244
0.358	9.978248212	5.468033324
0.359	9.979311674	5.48702504
0.36	9.980131867	5.506018721
0.361	9.981164409	5.525013996
0.362	9.981963533	5.544011179
0.363	9.982966074	5.563009915
0.364	9.983744646	5.582010505
0.365	9.984718076	5.601012606
0.366	9.985476602	5.620016508
0.367	9.986421784	5.639021882
0.368	9.987160758	5.658029004
0.369	9.988078529	5.67703756
0.37	9.988798433	5.696047815
0.371	9.989689604	5.715059465
0.372	9.990390911	5.734072765
0.373	9.991256268	5.753087425
0.374	9.991939439	5.772103686
0.375	9.992779746	5.791121272
0.376	9.99344523	5.810140414
0.377	9.994261227	5.829160844
0.378	9.994909465	5.848182787
0.379	9.995701868	5.867205984
0.38	9.996333291	5.88623065
0.381	9.997102796	5.905256538
0.382	9.997717823	5.924283852
0.383	9.998465104	5.943312356
0.384	9.999064145	5.962342245
0.385	9.999789858	5.981373293
0.386	10.00037331	6.000405687
0.387	10.00107809	6.019439208
0.388	10.00164635	6.038474037
0.389	10.00233081	6.057509964
0.39	10.00288426	6.076547161
0.391	10.003549	6.095585428
0.392	10.00408801	6.114624927
0.393	10.0047336	6.133665468
0.394	10.00525853	6.152707208
0.395	10.00588554	6.17174996
0.396	10.00639676	6.190793877
0.397	10.00700573	6.20983878
0.398	10.00750357	6.228884815
0.399	10.00809504	6.24793181
0.4	10.00857985	6.266979903
0.401	10.00915431	6.286028932
0.402	10.00962642	6.305079027
0.403	10.01018438	6.324130034
0.404	10.01064411	6.343182077
0.405	10.01118605	6.362235006
0.406	10.01163372	6.381288942
0.407	10.01216011	6.400343742
0.408	10.01259602	6.41939952
0.409	10.01310732	6.438456137
0.41	10.01353176	6.457513705
0.411	10.0140284	6.476572091
0.412	10.01444169	6.495631401
0.413	10.0149241	6.514691506
0.414	10.0153265	6.533752509
0.415	10.0157951	6.552814286
0.416	10.0161869	6.571876935
0.417	10.01664209	6.590940338
0.418	10.01702356	6.610004588
0.419	10.01746572	6.629069572
0.42	10.01783713	6.648135379
0.421	10.01826665	6.667201901
0.422	10.01862826	6.686269222
0.423	10.01904549	6.705337238
0.424	10.01939755	6.724406032
0.425	10.01980286	6.743475502
0.426	10.02014561	6.762545727
0.427	10.02053935	6.78161661
0.428	10.02087304	6.800688227
0.429	10.02125554	6.819760486
0.43	10.02158039	6.838833456
0.431	10.02195198	6.857907051
0.432	10.02226822	6.876981339
0.433	10.02262921	6.896056233
0.434	10.02293708	6.915131801
0.435	10.02328778	6.93420796
0.436	10.02358747	6.953284772
0.437	10.02392818	6.97236216
0.438	10.02421993	6.991440183
0.439	10.02455093	7.010518765
0.44	10.02483493	7.029597965
0.441	10.02515651	7.04867771
0.442	10.02543296	7.067758055
0.443	10.02574539	7.08683893
0.444	10.02601449	7.105920388
0.445	10.02631803	7.125002362
0.446	10.02657998	7.144084902
0.447	10.02687489	7.163167945
0.448	10.02712986	7.182251538
0.449	10.02741639	7.20133562
