t	alpha1	alpha2	alpha3	alpha4
0.167	1.039533341	1.360285012	1.611516104	1.843478131
0.168	1.050950918	1.374004098	1.626484725	1.859098421
0.169	1.062405627	1.387751122	1.64146969	1.874724362
0.17	1.073897152	1.401525709	1.656470682	1.890355792
0.171	1.085425184	1.415327493	1.671487393	1.90599255
0.172	1.096989414	1.429156111	1.686519518	1.921634481
0.173	1.108589537	1.443011206	1.70156676	1.937281437
0.174	1.120225249	1.456892425	1.716628828	1.952933269
0.175	1.13189625	1.470799419	1.731705434	1.968589838
0.176	1.143602242	1.484731845	1.746796298	1.984251006
0.177	1.155342929	1.498689364	1.761901146	1.999916639
0.178	1.167118019	1.512671641	1.777019706	2.015586607
0.179	1.178927221	1.526678347	1.792151714	2.031260785
0.18	1.190770247	1.540709156	1.80729691	2.04693905
0.181	1.202646812	1.554763746	1.82245504	2.062621285
0.182	1.214556631	1.568841801	1.837625854	2.078307373
0.183	1.226499425	1.582943008	1.852809107	2.093997202
0.184	1.238474915	1.597067058	1.868004558	2.109690665
0.185	1.250482825	1.611213646	1.883211973	2.125387656
0.186	1.262522881	1.625382473	1.898431121	2.141088071
0.187	1.274594812	1.639573242	1.913661773	2.156791813
0.188	1.286698348	1.653785661	1.92890371	2.172498784
0.189	1.298833223	1.66801944	1.944156712	2.18820889
0.19	1.310999173	1.682274295	1.959420566	2.203922042
0.191	1.323195933	1.696549946	1.974695062	2.219638149
0.192	1.335423246	1.710846115	1.989979995	2.235357126
0.193	1.347680852	1.725162528	2.005275164	2.251078891
0.194	1.359968496	1.739498916	2.02058037	2.266803362
0.195	1.372285923	1.753855012	2.03589542	2.28253046
0.196	1.384632884	1.768230555	2.051220124	2.29826011
0.197	1.397009128	1.782625283	2.066554295	2.313992237
0.198	1.409414408	1.797038943	2.081897751	2.329726769
0.199	1.421848478	1.811471281	2.097250312	2.345463637
0.2	1.434311097	1.825922049	2.112611803	2.361202773
0.201	1.446802022	1.840391001	2.127982051	2.37694411
0.202	1.459321015	1.854877894	2.143360886	2.392687586
0.203	1.471867838	1.869382489	2.158748144	2.408433137
0.204	1.484442257	1.883904551	2.174143661	2.424180704
0.205	1.497044039	1.898443846	2.189547278	2.439930228
0.206	1.509672953	1.913000146	2.204958839	2.455681653
0.207	1.522328769	1.927573222	2.22037819	2.471434923
0.208	1.53501126	1.942162853	2.235805181	2.487189984
0.209	1.547720202	1.956768816	2.251239663	2.502946785
0.21	1.56045537	1.971390894	2.266681494	2.518705275
0.211	1.573216544	1.986028873	2.28213053	2.534465405
0.212	1.586003503	2.000682541	2.297586633	2.550227128
0.213	1.598816031	2.015351688	2.313049666	2.565990396
0.214	1.611653911	2.030036108	2.328519495	2.581755167
0.215	1.624516928	2.044735597	2.343995989	2.597521395
0.216	1.637404872	2.059449955	2.359479019	2.613289038
0.217	1.650317531	2.074178984	2.37496846	2.629058056
0.218	1.663254696	2.088922487	2.390464187	2.644828408
0.219	1.676216161	2.103680273	2.405966078	2.660600056
0.22	1.689201721	2.11845215	2.421474016	2.676372962
0.221	1.702211172	2.133237931	2.436987883	2.69214709
0.222	1.715244312	2.14803743	2.452507565	2.707922404
0.223	1.728300942	2.162850465	2.468032948	2.72369887
0.224	1.741380863	2.177676855	2.483563925	2.739476454
0.225	1.754483878	2.192516423	2.499100385	2.755255124
0.226	1.767609792	2.207368991	2.514642224	2.771034848
0.227	1.780758412	2.222234389	2.530189337	2.786815595
0.228	1.793929546	2.237112443	2.545741623	2.802597337
0.229	1.807123005	2.252002986	2.561298982	2.818380044
0.23	1.820338599	2.266905851	2.576861316	2.834163688
0.231	1.833576142	2.281820873	2.592428528	2.849948242
0.232	1.846835449	2.296747892	2.608000526	2.865733679
0.233	1.860116335	2.311686746	2.623577215	2.881519975
0.234	1.873418618	2.326637279	2.639158506	2.897307103
0.235	1.886742118	2.341599334	2.654744309	2.91309504
0.236	1.900086656	2.356572758	2.670334538	2.928883762
0.237	1.913452054	2.371557399	2.685929107	2.944673247
0.238	1.926838135	2.386553108	2.701527933	2.960463472
0.239	1.940244726	2.401559737	2.717130932	2.976254416
0.24	1.953671653	2.416577141	2.732738026	2.992046058
0.241	1.967118744	2.431605177	2.748349133	3.007838378
0.242	1.980585829	2.446643701	2.763964178	3.023631356
0.243	1.994072739	2.461692575	2.779583083	3.039424973
0.244	2.007579307	2.476751661	2.795205775	3.05521921
0.245	2.021105367	2.491820823	2.81083218	3.07101405
0.246	2.034650754	2.506899925	2.826462227	3.086809474
0.247	2.048215306	2.521988837	2.842095845	3.102605467
0.248	2.061798859	2.537087426	2.857732965	3.118402011
0.249	2.075401254	2.552195565	2.87337352	3.13419909
0.25	2.089022332	2.567313125	2.889017443	3.14999669
0.251	2.102661935	2.582439981	2.90466467	3.165794794
0.252	2.116319906	2.597576009	2.920315136	3.181593388
0.253	2.12999609	2.612721088	2.935968779	3.197392459
0.254	2.143690335	2.627875096	2.951625537	3.213191991
0.255	2.157402486	2.643037914	2.967285351	3.228991972
0.256	2.171132393	2.658209425	2.982948161	3.244792389
0.257	2.184879906	2.673389513	2.99861391	3.260593229
0.258	2.198644877	2.688578063	3.014282541	3.276394479
0.259	2.212427157	2.703774964	3.029953998	3.292196129
0.26	2.226226602	2.718980103	3.045628227	3.307998165
0.261	2.240043065	2.734193371	3.061305174	3.323800578
0.262	2.253876403	2.749414659	3.076984786	3.339603356
0.263	2.267726474	2.764643861	3.092667012	3.355406488
0.264	2.281593136	2.779880871	3.108351803	3.371209965
0.265	2.295476249	2.795125585	3.124039107	3.387013775
0.266	2.309375675	2.8103779	3.139728877	3.402817911
0.267	2.323291276	2.825637715	3.155421064	3.418622361
0.268	2.337222914	2.840904931	3.171115624	3.434427117
0.269	2.351170455	2.856179447	3.186812508	3.450232171
0.27	2.365133764	2.871461168	3.202511674	3.466037512
0.271	2.379112709	2.886749996	3.218213075	3.481843134
0.272	2.393107157	2.902045838	3.233916671	3.497649028
0.273	2.407116977	2.9173486	3.249622417	3.513455186
0.274	2.421142039	2.932658189	3.265330273	3.5292616
0.275	2.435182215	2.947974515	3.281040197	3.545068263
0.276	2.449237378	2.963297487	3.29675215	3.560875168
0.277	2.4633074	2.978627018	3.312466093	3.576682308
0.278	2.477392156	2.993963019	3.328181988	3.592489675
0.279	2.491491522	3.009305405	3.343899795	3.608297264
0.28	2.505605374	3.02465409	3.35961948	3.624105067
0.281	2.51973359	3.040008991	3.375341004	3.63991308
0.282	2.533876049	3.055370024	3.391064334	3.655721294
0.283	2.548032631	3.070737109	3.406789433	3.671529706
0.284	2.562203215	3.086110163	3.422516268	3.687338308
0.285	2.576387685	3.101489108	3.438244806	3.703147096
0.286	2.590585922	3.116873865	3.453975012	3.718956064
0.287	2.604797811	3.132264357	3.469706856	3.734765207
0.288	2.619023237	3.147660507	3.485440306	3.750574519
0.289	2.633262084	3.163062239	3.50117533	3.766383996
0.29	2.647514239	3.17846948	3.516911898	3.782193633
0.291	2.661779591	3.193882156	3.532649981	3.798003426
0.292	2.676058028	3.209300195	3.548389548	3.81381337
0.293	2.690349439	3.224723524	3.564130572	3.82962346
0.294	2.704653715	3.240152074	3.579873025	3.845433692
0.295	2.718970747	3.255585775	3.595616878	3.861244062
0.296	2.733300428	3.271024558	3.611362104	3.877054567
0.297	2.74764265	3.286468356	3.627108678	3.892865201
0.298	2.761997308	3.301917101	3.642856573	3.908675962
0.299	2.776364296	3.317370728	3.658605763	3.924486846
0.3	2.790743511	3.332829172	3.674356225	3.940297849
0.301	2.80513485	3.348292368	3.690107932	3.956108968
0.302	2.81953821	3.363760254	3.705860861	3.971920199
0.303	2.833953489	3.379232765	3.721614988	3.98773154
0.304	2.848380586	3.394709842	3.737370291	4.003542986
0.305	2.862819403	3.410191423	3.753126746	4.019354535
0.306	2.87726984	3.425677448	3.768884332	4.035166184
0.307	2.8917318	3.441167858	3.784643026	4.05097793
0.308	2.906205183	3.456662594	3.800402807	4.06678977
0.309	2.920689895	3.472161599	3.816163655	4.082601702
