t	I1	I2	I3	I4
0.052	8.069733876	8.626229288	9.182724701	10.29571553
0.053	7.969084839	8.534156714	9.09922859	10.22937234
0.054	7.868979893	8.442514066	9.01604824	10.16311659
0.055	7.769502954	8.351386756	8.933270558	10.09703816
0.056	7.670726541	8.260848782	8.850971023	10.03121551
0.057	7.572713056	8.170964012	8.769214968	9.96571688
0.058	7.475515943	8.081787336	8.68805873	9.900601518
0.059	7.3791807	7.993365686	8.607550672	9.835920644
0.06	7.283745804	7.90573895	8.527732096	9.771718389
0.061	7.189243514	7.818940785	8.448638057	9.7080326
0.062	7.095700601	7.732999342	8.370298084	9.644895567
0.063	7.003138989	7.647937908	8.292736827	9.582334666
0.064	6.91157633	7.563775479	8.215974628	9.520372926
0.065	6.821026507	7.480527267	8.140028027	9.459029547
0.066	6.731500092	7.398205155	8.064910218	9.398320344
0.067	6.64300474	7.316818093	7.990631445	9.33825815
0.068	6.55554555	7.236372456	7.917199361	9.278853172
0.069	6.469125376	7.156872359	7.844619343	9.220113309
0.07	6.383745107	7.078319937	7.772894767	9.162044427
0.071	6.299403915	7.000715589	7.702027263	9.104650612
0.072	6.216099474	6.924058201	7.632016928	9.047934382
0.073	6.133828151	6.848345336	7.562862521	8.991896892
0.074	6.052585182	6.77357341	7.494561639	8.936538095
0.075	5.972364819	6.69973784	7.427110861	8.881856903
0.076	5.893160466	6.626833179	7.360505891	8.827851317
0.077	5.814964797	6.554853234	7.294741671	8.774518545
0.078	5.73776986	6.483791173	7.229812486	8.721855111
0.079	5.66156717	6.413639615	7.165712059	8.669856947
0.08	5.58634779	6.34439071	7.102433631	8.618519472
0.081	5.5121024	6.276036216	7.039970033	8.567837666
0.082	5.438821365	6.208567558	6.978313751	8.517806137
0.083	5.366494786	6.141975883	6.917456979	8.468419171
0.084	5.295112554	6.076252113	6.857391671	8.419670789
0.085	5.224664386	6.011386985	6.798109584	8.371554783
0.086	5.155139869	5.947371092	6.739602315	8.324064762
0.087	5.08652849	5.884194912	6.681861335	8.277194179
0.088	5.018819666	5.821848841	6.624878017	8.230936368
0.089	4.95200277	5.760323218	6.568643666	8.185284561
0.09	4.886067152	5.699608344	6.513149536	8.140231921
0.091	4.821002158	5.639694507	6.458386856	8.095771554
0.092	4.75679715	5.580571995	6.404346841	8.051896532
0.093	4.693441517	5.522231114	6.351020711	8.008599905
0.094	4.630924692	5.464662198	6.298399704	7.965874716
0.095	4.569236157	5.407855621	6.246475085	7.923714013
0.096	4.508365459	5.351801809	6.195238159	7.882110859
0.097	4.448302216	5.296491247	6.144680278	7.841058339
0.098	4.389036122	5.241914485	6.094792847	7.800549573
0.099	4.330556955	5.188062145	6.045567335	7.760577715
0.1	4.272854583	5.134924929	5.996995275	7.721135966
0.101	4.215918966	5.082493618	5.94906827	7.682217574
0.102	4.159740162	5.030759082	5.901778002	7.643815842
0.103	4.104308329	4.979712278	5.855116228	7.605924127
0.104	4.049613726	4.929344256	5.809074787	7.568535848
0.105	3.995646718	4.87964616	5.763645602	7.531644486
0.106	3.942397774	4.830609227	5.71882068	7.495243585
0.107	3.889857474	4.782224795	5.674592116	7.459326758
0.108	3.838016502	4.734484297	5.630952093	7.423887683
0.109	3.786865654	4.687379267	5.587892881	7.388920108
0.11	3.736395832	4.640901337	5.545406841	7.354417851
0.111	3.686598049	4.595042237	5.503486425	7.3203748
0.112	3.637463428	4.5497938	5.462124171	7.286784914
0.113	3.5889832	4.505147956	5.421312711	7.253642222
0.114	3.541148704	4.461096735	5.381044766	7.220940827
0.115	3.493951388	4.417632266	5.341313145	7.188674901
0.116	3.447382807	4.374746777	5.302110748	7.156838688
0.117	3.401434624	4.332432594	5.263430563	7.125426503
0.118	3.356098606	4.290682138	5.225265669	7.094432731
0.119	3.311366628	4.249487929	5.187609229	7.06385183
0.12	3.267230668	4.208842582	5.150454496	7.033678325
0.121	3.223682807	4.168738808	5.113794809	7.003906811
0.122	3.180715228	4.12916941	5.077623591	6.974531953
0.123	3.138320219	4.090127285	5.041934352	6.945548486
0.124	3.096490163	4.051605425	5.006720686	6.916951208
0.125	3.055217548	4.013596908	4.971976269	6.88873499
0.126	3.014494956	3.976094908	4.93769486	6.860894764
0.127	2.974315069	3.939092685	4.903870301	6.833425532
0.128	2.934670664	3.902583588	4.870496512	6.80632236
0.129	2.895554612	3.866561053	4.837567495	6.779580378
0.13	2.856959879	3.831018604	4.80507733	6.75319478
0.131	2.818879525	3.795949849	4.773020174	6.727160823
0.132	2.781306699	3.761348481	4.741390263	6.701473827
0.133	2.744234643	3.727208275	4.710181907	6.676129172
0.134	2.707656686	3.69352309	4.679389494	6.651122301
0.135	2.671566248	3.660286865	4.649007482	6.626448716
0.136	2.635956833	3.62749362	4.619030406	6.602103978
0.137	2.600822035	3.595137453	4.589452872	6.578083708
0.138	2.566155529	3.563212543	4.560269557	6.554383584
0.139	2.531951078	3.531713144	4.53147521	6.530999342
0.14	2.498202523	3.500633585	4.503064648	6.507926772
0.141	2.464903791	3.469968274	4.475032758	6.485161724
0.142	2.432048888	3.439711691	4.447374494	6.4627001
0.143	2.399631899	3.409858389	4.420084878	6.440537857
0.144	2.36764699	3.380402994	4.393158998	6.418671007
