t	w1	w2	w3	w4
0.098	4.027623752	5.35615149	6.400026841	7.305609396
0.099	4.061804073	5.392399413	6.432381906	7.327959854
0.1	4.095695912	5.428164394	6.464112526	7.349662091
0.101	4.129301688	5.463452847	6.495230722	7.370734856
0.102	4.162623803	5.498271101	6.525748284	7.391196363
0.103	4.195664642	5.532625404	6.555676781	7.411064305
0.104	4.228426568	5.566521923	6.585027562	7.430355865
0.105	4.260911929	5.599966744	6.613811757	7.449087734
0.106	4.29312305	5.632965876	6.642040288	7.467276125
0.107	4.325062241	5.665525246	6.669723866	7.48493678
0.108	4.356731792	5.697650707	6.696872998	7.502084992
0.109	4.388133973	5.729348032	6.723497989	7.518735611
0.11	4.419271038	5.760622921	6.749608949	7.53490306
0.111	4.45014522	5.791480996	6.775215791	7.550601345
0.112	4.480758736	5.821927808	6.800328241	7.565844068
0.113	4.511113784	5.851968832	6.824955837	7.580644438
0.114	4.541212542	5.881609472	6.849107934	7.595015283
0.115	4.571057172	5.910855061	6.872793706	7.60896906
0.116	4.600649819	5.939710861	6.896022152	7.622517864
0.117	4.629992606	5.968182064	6.918802099	7.635673443
0.118	4.659087643	5.996273793	6.941142202	7.648447202
0.119	4.68793702	6.023991103	6.96305095	7.660850218
0.12	4.716542809	6.051338983	6.984536669	7.672893248
0.121	4.744907067	6.078322356	7.005607524	7.684586734
0.122	4.773031831	6.104946077	7.026271524	7.695940819
0.123	4.800919123	6.13121494	7.046536523	7.706965351
0.124	4.828570947	6.157133672	7.066410223	7.717669891
0.125	4.855989291	6.182706939	7.085900178	7.728063726
0.126	4.883176125	6.207939346	7.105013796	7.738155872
0.127	4.910133403	6.232835433	7.123758344	7.747955083
0.128	4.936863065	6.257399685	7.142140945	7.757469861
0.129	4.96336703	6.281636521	7.160168589	7.766708459
0.13	4.989647204	6.305550307	7.177848129	7.775678894
0.131	5.015705478	6.329145348	7.195186285	7.784388947
0.132	5.041543723	6.352425891	7.212189649	7.792846175
0.133	5.067163797	6.375396129	7.228864684	7.801057918
0.134	5.092567543	6.398060196	7.245217731	7.809031298
0.135	5.117756787	6.420422174	7.261255006	7.816773235
0.136	5.14273334	6.442486089	7.276982607	7.824290446
0.137	5.167498998	6.464255913	7.292406512	7.831589453
0.138	5.192055541	6.485735566	7.307532585	7.838676591
0.139	5.216404734	6.506928916	7.322366578	7.845558007
0.14	5.24054833	6.527839778	7.33691413	7.852239675
0.141	5.264488063	6.548471918	7.351180772	7.85872739
0.142	5.288225654	6.568829051	7.365171929	7.865026784
0.143	5.311762811	6.588914843	7.378892918	7.871143322
0.144	5.335101226	6.608732909	7.392348958	7.877082312
0.145	5.358242577	6.628286818	7.405545164	7.882848907
0.146	5.381188528	6.647580092	7.418486554	7.888448112
0.147	5.403940729	6.666616203	7.431178047	7.893884786
0.148	5.426500815	6.685398581	7.44362447	7.899163645
0.149	5.448870409	6.703930606	7.455830554	7.904289271
0.15	5.47105112	6.722215616	7.46780094	7.909266112
0.151	5.493044541	6.740256904	7.47954018	7.914098487
